N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"56,400",200,+0.36%,100,"3,366,957","5,969,783",49.49,"9,873,283",8.55,13.92,
2,LG에너지솔루션,"478,500","27,500",-5.43%,500,"1,119,690","234,000",4.39,"407,266",794.85,10.68,
3,SK하이닉스,"90,200","1,000",-1.10%,"5,000","656,658","728,002",50.34,"1,484,386",5.72,16.84,
4,삼성바이오로직스,"807,000","5,000",+0.62%,"2,500","574,374","71,174",10.51,"29,301",107.33,8.21,
5,LG화학,"635,000",0,0.00%,"5,000","448,261","70,592",48.13,"131,624",22.39,18.47,
6,현대차,"201,500",500,+0.25%,"5,000","430,541","213,668",28.91,"544,177",8.94,6.84,
7,삼성전자우,"51,600",100,+0.19%,100,"424,610","822,887",71.79,"666,288",7.83,N/A,
8,삼성SDI,"607,000","5,000",+0.83%,"5,000","417,401","68,765",44.29,"130,996",28.32,8.45,
9,NAVER,"217,500","2,500",-1.14%,100,"356,807","164,049",53.00,"343,687",35.48,106.72,
10,기아,"81,100",0,0.00%,"5,000","328,750","405,363",37.01,"507,491",6.21,14.69,
11,카카오,"65,600","1,300",-1.94%,100,"292,124","445,311",28.25,"840,208",13.12,17.10,
12,셀트리온,"172,500","1,500",-0.86%,"1,000","242,866","140,792",20.86,"182,867",43.16,16.04,
13,삼성물산,"111,500","1,500",-1.33%,100,"208,379","186,887",16.31,"128,629",13.28,5.40,
14,KB금융,"49,600",500,-1.00%,"5,000","202,813","408,897",73.64,"478,244",4.38,9.80,
15,현대모비스,"209,500",500,-0.24%,"5,000","198,131","94,573",35.22,"61,073",8.35,6.87,
16,POSCO홀딩스,"231,000",500,+0.22%,"5,000","195,360","84,571",53.93,"184,399",2.79,13.97,
17,신한지주,"36,150",250,+0.70%,"5,000","185,426","512,934",61.78,"613,734",4.49,8.80,
18,SK,"222,500","2,000",-0.89%,200,"164,982","74,149",22.37,"44,387",4.99,10.19,
19,SK이노베이션,"177,000",500,-0.28%,"5,000","163,664","92,466",25.62,"135,943",6.47,1.91,
20,LG전자,"90,500",100,-0.11%,"5,000","148,101","163,648",25.69,"341,524",8.88,6.32,
21,포스코케미칼,"178,000",500,+0.28%,500,"137,885","77,463",7.41,"569,010",100.56,7.92,
22,LG,"79,800","1,000",-1.24%,"5,000","125,526","157,301",36.27,"74,521",5.48,12.36,
23,한국전력,"19,500",600,+3.17%,"5,000","125,183","641,964",14.52,"846,766",-0.81,-7.99,
24,삼성생명,"62,500","1,100",-1.73%,500,"125,000","200,000",13.22,"109,556",17.13,4.01,
25,카카오뱅크,"25,100",150,-0.59%,"5,000","119,632","476,621",13.75,"790,523",55.65,4.91,
26,고려아연,"589,000","29,000",-4.69%,"5,000","116,994","19,863",17.61,"75,402",13.04,11.07,
27,KT&G,"84,300",600,+0.72%,"5,000","115,738","137,292",40.50,"204,387",10.93,10.74,
28,하나금융지주,"38,600",300,-0.77%,"5,000","114,219","295,903",71.32,"509,903",3.30,10.86,
29,SK텔레콤,"51,700",700,-1.34%,100,"113,137","218,833",46.44,"402,041",8.91,13.63,
30,크래프톤,"227,000","12,000",-5.02%,100,"111,394","49,072",29.07,"194,605",17.64,17.86,
31,두산에너빌리티,"16,900",700,-3.98%,"5,000","107,874","638,308",11.36,"4,985,597",127.07,10.67,
32,LG생활건강,"682,000","7,000",-1.02%,"5,000","106,516","15,618",37.75,"19,703",20.25,16.65,
33,현대중공업,"116,000","4,000",-3.33%,"5,000","102,977","88,773",5.65,"581,203",-13.94,-14.87,
34,S-Oil,"89,300",600,+0.68%,"2,500","100,536","112,583",82.12,"151,587",4.15,21.76,
35,HMM,"20,000",600,-2.91%,"5,000","97,808","489,039",8.65,"1,548,221",0.84,88.62,
36,한화솔루션,"50,500",700,-1.37%,"5,000","96,596","191,278",21.96,"2,172,429",27.79,8.79,
37,삼성전기,"128,500","2,500",-1.91%,"5,000","95,981","74,694",25.69,"242,301",9.67,14.29,
38,삼성에스디에스,"122,000","1,000",-0.81%,500,"94,401","77,378",13.32,"51,309",12.41,8.80,
39,KT,"35,900",0,0.00%,"5,000","93,739","261,112",45.05,"444,195",6.52,9.36,
40,대한항공,"25,150",750,-2.90%,"5,000","92,607","368,221",14.16,"768,747",5.88,11.60,
41,삼성화재,"191,500","2,000",+1.06%,500,"90,723","47,375",49.71,"49,870",8.39,7.09,
42,우리금융지주,"11,700",100,-0.85%,"5,000","85,183","728,061",39.89,"789,092",2.90,10.59,
43,카카오페이,"61,400","1,700",-2.69%,500,"81,435","132,631",43.50,"185,288",-310.10,-2.45,
44,LG이노텍,"337,000","4,500",+1.35%,"5,000","79,758","23,667",24.39,"165,743",8.28,30.94,
45,엔씨소프트,"352,500","15,500",-4.21%,500,"77,388","21,954",42.71,"83,370",15.20,12.62,
46,SK바이오사이언스,"98,500","3,000",-2.96%,500,"75,632","76,784",3.64,"239,888",22.56,38.08,
47,기업은행,"9,800",70,-0.71%,"5,000","72,941","744,301",13.47,"436,651",3.22,9.21,
48,아모레퍼시픽,"120,000","4,000",-3.23%,500,"70,191","58,493",25.81,"194,379",98.60,4.20,
49,하이브,"159,000","5,000",+3.25%,500,"65,752","41,353",15.44,"250,023",28.02,6.83,
50,현대글로비스,"174,000","6,500",-3.60%,500,"65,250","37,500",46.14,"87,751",6.30,14.41,
51,롯데케미칼,"173,500",500,-0.29%,"5,000","59,468","34,275",23.27,"42,542",11.58,9.87,
52,CJ제일제당,"393,500","8,000",+2.08%,"5,000","59,238","15,054",24.33,"27,771",9.93,10.76,
53,F&F,"152,500","1,500",-0.97%,100,"58,418","38,307",12.53,"73,540",15.95,N/A,
54,SK스퀘어,"41,100",650,-1.56%,100,"58,143","141,468",41.26,"171,285",2.55,N/A,
55,한국조선해양,"81,800","2,400",-2.85%,"5,000","57,892","70,773",20.51,"243,228",-8.35,-8.95,
56,한온시스템,"10,300",50,-0.48%,100,"54,981","533,800",16.82,"316,084",29.43,13.83,
57,강원랜드,"25,250",100,-0.39%,500,"54,020","213,940",22.28,"127,918",131.51,-0.33,
58,SK바이오팜,"67,100",800,-1.18%,500,"52,548","78,313",5.75,"52,609",-67.57,15.75,
59,KODEX 200,"30,710",170,-0.55%,0,"51,485","167,650",2.32,"3,883,447",N/A,N/A,
60,SK아이이테크놀로지,"72,100","4,100",-5.38%,"1,000","51,406","71,298",10.41,"404,302",398.34,5.57,
61,LG디스플레이,"14,300",200,-1.38%,"5,000","51,168","357,816",18.21,"973,816",24.32,9.68,
62,넷마블,"58,900","1,800",-2.97%,100,"50,627","85,954",23.23,"70,740",-217.34,4.29,
63,맥쿼리인프라,"12,450",50,+0.40%,0,"50,403","404,846",13.61,"491,255",N/A,N/A,
64,LG유플러스,"11,350",100,-0.87%,"5,000","49,555","436,611",37.27,"353,827",7.75,9.47,
65,한국타이어앤테크놀로지,"39,800",50,-0.13%,500,"49,302","123,875",35.99,"135,897",7.23,7.69,
66,현대건설,"43,550",550,-1.25%,"5,000","48,495","111,356",23.07,"398,895",8.59,5.89,
67,삼성중공업,"5,500",80,-1.43%,"1,000","48,400","880,000",15.49,"2,032,445",-7.27,-36.89,
68,한국항공우주,"49,300","1,000",-1.99%,"5,000","48,055","97,475",23.13,"2,846,825",56.67,5.19,
69,HD현대,"58,400",100,-0.17%,"1,000","46,132","78,993",17.02,"61,286",5.19,-1.99,
70,현대제철,"33,500","1,100",-3.18%,"5,000","44,704","133,446",20.82,"543,476",2.30,8.54,
71,삼성엔지니어링,"21,900",150,-0.68%,"5,000","42,924","196,000",39.89,"661,738",10.07,20.67,
72,GS,"45,750",350,-0.76%,"5,000","42,509","92,915",24.23,"54,736",1.96,15.55,
73,코웨이,"56,700",300,+0.53%,500,"41,844","73,800",61.54,"60,948",8.51,27.41,
74,롯데지주,"39,600",200,-0.50%,200,"41,544","104,909",9.25,"122,230",12.46,4.61,
75,유한양행,"55,800",100,-0.18%,"1,000","40,863","73,231",19.38,"39,552",42.43,5.45,
76,미래에셋증권,"6,590",10,-0.15%,"5,000","40,549","615,316",12.79,"378,889",5.34,11.66,
77,SKC,"106,000","2,500",-2.30%,"5,000","40,140","37,868",16.06,"165,086",13.68,11.60,
78,DB손해보험,"56,300",400,-0.71%,500,"39,860","70,800",42.54,"50,302",4.15,13.38,
79,메리츠화재,"33,950",550,-1.59%,500,"39,654","116,802",11.29,"57,193",5.05,26.12,
80,현대미포조선,"97,500","1,500",-1.52%,"5,000","38,944","39,942",19.74,"275,482",-92.42,-7.11,
81,오리온,"97,900","3,600",-3.55%,500,"38,706","39,536",35.70,"55,589",13.25,12.75,
82,금호석유,"127,000","2,500",-1.93%,"5,000","38,476","30,296",20.68,"31,234",2.71,47.76,
83,한화에어로스페이스,"73,400","1,000",-1.34%,"5,000","37,162","50,630",19.06,"1,112,948",24.06,9.21,
84,삼성카드,"31,300",50,+0.16%,"5,000","36,264","115,859",6.73,"18,484",6.20,7.53,
85,한미약품,"282,000","2,000",-0.70%,"2,500","34,737","12,318",14.28,"26,472",44.08,8.75,
86,TIGER 차이나전기차SOLACTIVE,"14,030",290,+2.11%,0,"34,076","242,880",0.71,"2,726,404",N/A,N/A,
87,현대차2우B,"93,200",600,-0.64%,"5,000","34,004","36,485",60.03,"22,837",4.14,N/A,
88,한국가스공사,"36,400",500,-1.36%,"5,000","33,602","92,313",11.58,"140,011",2.44,11.63,
89,쌍용C&E,"6,620",0,0.00%,100,"33,356","503,860",2.73,"232,792",28.17,11.12,
90,NH투자증권,"9,680",20,-0.21%,"5,000","32,105","331,666",13.21,"200,645",4.98,14.77,
91,에스디바이오센서,"30,550",650,-2.08%,500,"31,549","103,271",13.73,"163,503",2.71,72.47,
92,두산밥캣,"31,250","1,150",-3.55%,500,"31,328","100,249",25.63,"104,942",7.48,9.19,
93,메리츠금융지주,"24,250",300,-1.22%,500,"31,243","128,838",6.33,"70,415",3.26,22.33,
94,한국금융지주,"55,400",300,-0.54%,"5,000","30,872","55,726",33.43,"80,557",2.33,27.12,
95,현대오토에버,"112,500","3,000",-2.60%,500,"30,852","27,424",1.91,"51,857",39.84,7.26,
96,현대로템,"27,900",50,+0.18%,"5,000","30,451","109,142",5.93,"2,878,827",36.42,5.01,
97,삼성증권,"33,750",350,+1.05%,"5,000","30,139","89,300",27.06,"163,147",4.30,16.94,
98,포스코인터내셔널,"24,050",300,-1.23%,"5,000","29,672","123,375",9.41,"393,134",5.57,10.86,
99,일진머티리얼즈,"63,600","1,200",-1.85%,500,"29,326","46,111",9.60,"177,956",49.80,7.85,
100,메리츠증권,"4,535",5,+0.11%,"1,000","29,011","639,711",13.66,"548,249",3.96,15.77,
101,호텔신라,"73,800",0,0.00%,"5,000","28,965","39,248",16.43,"203,754",88.49,4.51,
102,한미사이언스,"41,900",500,-1.18%,500,"28,753","68,624",1.95,"58,767",55.79,6.37,
103,팬오션,"5,360",110,-2.01%,"1,000","28,653","534,570",16.06,"2,314,583",3.62,17.16,
104,BGF리테일,"164,000","1,500",+0.92%,"1,000","28,346","17,284",31.48,"33,730",16.84,19.61,
105,GS리테일,"27,000",350,-1.28%,"1,000","28,274","104,718",7.14,"114,744",3.50,25.58,
106,아모레G,"33,050",750,-2.22%,500,"27,252","82,458",14.78,"91,010",74.10,5.49,
107,제일기획,"23,000",450,+2.00%,200,"26,459","115,041",32.56,"298,692",14.41,15.58,
108,한진칼,"39,550",400,+1.02%,"2,500","26,404","66,762",16.13,"91,923",3.32,1.11,
109,KODEX KOFR금리액티브(합성),"100,795",10,+0.01%,0,"26,386","26,178",0.00,"13,004",N/A,N/A,
110,현대해상,"29,450",250,-0.84%,500,"26,328","89,400",32.30,"217,950",4.82,8.82,
111,한화시스템,"13,900",200,-1.42%,"5,000","26,260","188,919",2.82,"433,162",141.84,6.04,
112,롯데쇼핑,"92,200","1,200",-1.28%,"5,000","26,082","28,289",12.17,"33,750",-22.70,-2.94,
113,이마트,"91,700",500,-0.54%,"5,000","25,562","27,876",26.51,"84,972",1.46,16.25,
114,OCI,"106,500","4,000",-3.62%,"5,000","25,400","23,849",10.07,"567,557",3.40,23.93,
115,씨에스윈드,"60,200","1,700",-2.75%,500,"25,387","42,171",11.19,"193,099",146.12,10.13,
116,만도,"51,400","1,000",+1.98%,"1,000","24,136","46,957",21.15,"189,726",22.90,9.31,
117,CJ대한통운,"105,000","3,500",-3.23%,"5,000","23,953","22,812",18.37,"53,553",13.14,1.59,
118,신세계,"240,000","3,000",+1.27%,"5,000","23,628","9,845",27.75,"67,087",5.84,8.54,
119,GS건설,"27,300",500,-1.80%,"5,000","23,364","85,581",31.97,"429,159",4.82,9.32,
120,KCC,"262,500","6,500",-2.42%,"5,000","23,327","8,886",10.12,"24,821",-9.19,-0.92,
121,한전기술,"60,700","1,900",-3.04%,200,"23,200","38,220",1.57,"109,456",136.10,3.25,
122,한솔케미칼,"201,500","12,500",-5.84%,"5,000","22,840","11,335",36.94,"42,596",15.07,23.88,
123,현대차우,"92,800",700,-0.75%,"5,000","22,603","24,357",57.59,"21,681",4.12,N/A,
124,KODEX 200선물인버스2X,"3,295",35,+1.07%,0,"22,469","681,900",2.28,"135,720,594",N/A,N/A,
125,LG화학우,"290,000","2,000",-0.68%,"5,000","22,298","7,689",70.37,"7,395",10.22,N/A,
126,CJ,"75,200",700,+0.94%,"5,000","21,941","29,177",17.42,"21,310",8.28,5.66,
127,한화,"29,000",300,-1.02%,"5,000","21,738","74,959",16.51,"128,718",2.71,20.22,
128,동서,"21,800",0,0.00%,500,"21,735","99,700",3.10,"27,902",18.73,8.05,
129,영원무역,"48,700","2,150",+4.62%,500,"21,580","44,311",29.13,"192,270",4.73,14.71,
130,키움증권,"82,000",900,-1.09%,"5,000","21,500","26,220",24.54,"14,089",3.55,25.38,
131,TIGER 미국나스닥100,"73,615",385,-0.52%,0,"21,407","29,080",0.01,"89,147",N/A,N/A,
132,BNK금융지주,"6,560",30,-0.46%,"5,000","21,381","325,935",36.97,"567,723",2.58,8.76,
133,에스원,"55,900",500,+0.90%,500,"21,242","37,999",53.18,"29,126",17.31,9.13,
134,두산퓨얼셀,"31,950","2,250",-6.58%,100,"20,925","65,494",15.16,"436,395",270.76,1.69,
135,대우조선해양,"19,350",550,-2.76%,"5,000","20,761","107,291",2.97,"361,294",-1.85,-55.86,
136,TIGER 200,"30,730",115,-0.37%,0,"20,727","67,450",0.00,"400,906",N/A,N/A,
137,대한전선,"1,625",5,-0.31%,100,"20,223","1,244,473",1.59,"5,056,609",42.76,7.78,
138,KODEX 레버리지,"14,010",155,-1.09%,0,"20,132","143,700",2.66,"19,458,542",N/A,N/A,
139,LIG넥스원,"91,400","2,100",-2.25%,"5,000","20,108","22,000",12.33,"206,934",13.53,14.63,
140,현대위아,"73,900",300,-0.40%,"5,000","20,097","27,195",9.37,"129,238",8.89,1.96,
141,한화생명,"2,305",30,-1.28%,"5,000","20,020","868,530",7.52,"564,498",1.90,10.79,
142,하이트진로,"28,450",200,+0.71%,"5,000","19,953","70,134",12.44,"101,721",21.18,6.62,
143,LS,"61,900","1,400",-2.21%,"5,000","19,932","32,200",14.67,"52,561",6.21,8.15,
144,대웅제약,"171,500","2,000",+1.18%,"2,500","19,871","11,587",8.44,"15,403",27.32,4.39,
145,대우건설,"4,775",65,-1.34%,"5,000","19,846","415,623",10.21,"549,714",4.73,16.47,
146,휠라홀딩스,"31,900",300,-0.93%,"1,000","19,380","60,752",39.81,"105,960",9.23,16.20,
147,코스모신소재,"61,600","2,900",-4.50%,"1,000","18,881","30,651",9.00,"615,901",76.43,9.42,
148,TIGER 단기통안채,"101,310",5,0.00%,0,"18,714","18,472",4.20,"872,134",N/A,N/A,
149,DB하이텍,"42,100",0,0.00%,"5,000","18,692","44,399",25.40,"380,074",3.54,33.35,
150,TIGER 미국S&P500,"13,515",0,0.00%,0,"18,590","137,550",0.49,"887,818",N/A,N/A,
151,SK케미칼,"105,000",500,+0.48%,"5,000","18,502","17,621",18.66,"52,859",13.98,11.19,
152,에스엘,"38,650",300,-0.77%,500,"17,952","46,449",16.45,"157,550",17.62,6.63,
153,농심,"293,500","2,000",-0.68%,"5,000","17,853","6,083",13.34,"6,015",15.75,4.73,
154,효성첨단소재,"395,500","13,500",-3.30%,"5,000","17,718","4,480",6.36,"16,957",7.56,54.69,
155,오뚜기,"468,500","5,500",+1.19%,"5,000","17,203","3,672",12.20,"1,998",11.50,8.91,
156,TIGER TOP10,"10,225",15,-0.15%,0,"16,733","163,650",0.08,"162,636",N/A,N/A,
157,녹십자,"141,000","2,500",-1.74%,"5,000","16,478","11,687",22.03,"26,035",13.21,10.30,
158,롯데정밀화학,"63,800","1,700",-2.60%,"5,000","16,460","25,800",19.61,"45,458",3.36,30.43,
159,한전KPS,"35,950","1,350",-3.62%,200,"16,178","45,000",5.64,"194,399",23.86,9.12,
160,LX인터내셔널,"40,450",850,-2.06%,"5,000","15,678","38,760",29.91,"784,581",2.99,22.49,
161,KODEX 삼성그룹,"8,275",0,0.00%,0,"15,640","189,000",0.06,"266,955",N/A,N/A,
162,효성,"74,100",800,-1.07%,"5,000","15,614","21,071",5.06,"25,458",5.22,18.04,
163,DL이앤씨,"40,000","1,500",-3.61%,"5,000","15,477","38,694",22.01,"190,039",3.28,N/A,
164,LS ELECTRIC,"50,600","1,600",-3.07%,"5,000","15,180","30,000",12.11,"102,720",16.42,5.86,
165,KODEX 단기채권PLUS,"104,170",5,0.00%,0,"15,129","14,523",0.01,"2,354,453",N/A,N/A,
166,롯데칠성,"163,000","3,000",+1.88%,500,"15,125","9,279",12.20,"18,836",9.95,9.96,
167,동원시스템즈,"50,400",300,-0.59%,"5,000","14,612","28,991",13.18,"7,879",31.44,6.95,
168,JB금융지주,"7,370",90,+1.24%,"5,000","14,518","196,983",27.25,"166,642",2.65,12.80,
169,TIGER 미국테크TOP10 INDXX,"10,755",25,-0.23%,0,"14,277","132,750",0.12,"383,534",N/A,N/A,
170,TIGER 미국필라델피아반도체나스닥,"9,515",70,+0.74%,0,"14,277","150,050",0.18,"573,589",N/A,N/A,
171,대성홀딩스,"88,700",200,-0.22%,"1,000","14,271","16,089",3.86,"52,604",62.20,3.61,
172,TIGER CD금리투자KIS(합성),"51,200",5,+0.01%,0,"14,157","27,650",0.00,"4,158",N/A,N/A,
173,코오롱인더,"51,300",700,-1.35%,"5,000","14,117","27,519",17.65,"77,457",8.13,8.20,
174,DL,"66,500","1,100",-1.63%,"5,000","13,936","20,956",9.94,"29,746",8.95,26.52,
175,현대백화점,"58,300","2,300",-3.80%,"5,000","13,644","23,402",21.08,"163,345",6.38,4.36,
176,후성,"14,650",350,-2.33%,500,"13,567","92,607",5.43,"1,022,859",18.20,9.61,
177,일진하이솔루스,"37,300",850,-2.23%,500,"13,545","36,313",1.55,"68,058",151.63,4.97,
178,솔루스첨단소재,"38,500",100,+0.26%,100,"13,518","35,111",5.71,"90,390",172.65,4.00,
179,대덕전자,"27,350",50,-0.18%,500,"13,516","49,417",19.07,"283,361",10.62,9.55,
180,대웅,"22,900",500,-2.14%,500,"13,315","58,142",4.33,"22,252",11.81,11.13,
181,서울가스,"265,500","2,500",+0.95%,"5,000","13,275","5,000",4.06,"6,072",65.60,0.80,
182,동국제강,"13,750","1,400",-9.24%,"5,000","13,122","95,433",22.47,"1,464,991",1.66,23.41,
183,한국앤컴퍼니,"13,750",50,-0.36%,500,"13,054","94,935",9.26,"33,879",5.77,5.53,
184,효성티앤씨,"299,500","7,000",-2.28%,"5,000","12,961","4,328",9.68,"14,065",2.65,76.22,
185,KODEX 2차전지산업,"19,765",280,-1.40%,0,"12,946","65,500",0.35,"848,530",N/A,N/A,
186,한미반도체,"13,050",550,+4.40%,100,"12,909","98,920",5.13,"933,538",11.44,34.59,
187,롯데렌탈,"34,950",50,+0.14%,"5,000","12,804","36,634",4.85,"19,337",8.56,12.28,
188,두산,"77,400","6,700",-7.97%,"5,000","12,789","16,524",9.27,"220,454",-15.60,11.08,
189,TIGER 2차전지테마,"19,160",495,-2.52%,0,"12,531","65,400",0.22,"447,476",N/A,N/A,
190,KODEX 종합채권(AA-이상)액티브,"100,780",60,-0.06%,0,"12,527","12,430",0.00,"2,022",N/A,N/A,
191,DGB금융지주,"7,350",30,+0.41%,"5,000","12,432","169,146",46.47,"262,040",2.44,9.63,
192,롯데리츠,"5,050",30,-0.59%,500,"12,270","242,969",10.94,"98,738",64.74,1.65,
193,영풍,"662,000","7,000",-1.05%,"5,000","12,194","1,842",3.90,"1,019",6.81,3.66,
194,롯데제과,"129,000",500,+0.39%,500,"12,171","9,435",14.39,"3,929",25.05,2.88,
195,KODEX 단기채권,"103,755",5,0.00%,0,"12,136","11,697",0.55,"60,576",N/A,N/A,
196,ESR켄달스퀘어리츠,"5,590",70,-1.24%,"1,000","11,912","213,089",52.66,"125,393",38.29,3.24,
197,명신산업,"22,700",100,+0.44%,500,"11,911","52,470",2.07,"326,740",22.15,18.85,
198,신풍제약,"22,350",400,-1.76%,500,"11,842","52,985",5.67,"227,708",-52.84,-3.19,
199,TIGER MSCI Korea TR,"12,580",55,-0.44%,0,"11,649","92,600",4.75,"3,299",N/A,N/A,
200,한샘,"48,700",750,-1.52%,"1,000","11,461","23,534",13.88,"38,673",37.46,9.10,
